CODPROD;DESCRICAO;EMBALAGEM
9205;LIQUIDIFICADOR MUNDIAL EASY POWER L550 ;1UN
142;GINA ESPETO P/CHURRASCO MADEIRA R.1502;PCT 100X1
3676;ALADDIN-G.T.CONTINENTAL PLUS SORT. R.995;1LT
3677;ALADDIN-G.T.CONTINENTAL PLUS SORT. R.996;750ML
3679;ALADDIN-BALDE DE GELO SORT. R.8121;1,3LT
3680;ALADDIN-G.T.METALIZADA PRESSAO R.3705;1,8LT
3978;BUNGE-MAIONESE SALADA SACHE R.154586;24X200GR
67;B.VISTA-BISC.PAO DE MEL ;PCT 100GR
816;V.FERTIL-ALCAPARRAS ;VD 60GR
747;PAN-GOMA EM TUBO BALILA DISPLAY R.2519;30X1
735;PAN-CHOC.GRANULADO P/COBERT R.3706;10X500GR
3979;V.FERTIL-AZEITE OLIVA EXTRA VIRGEM SACHE;240X13ML
2257;M.BRASILIA MOLHO SHOYU ;6X900ML
2258;MOLHO ALHO M.BRASILIA;6X900ML
303;BRASLIXO SACO P/ LIXO 100 LT ;25X5UN
230;BICICLETA 26 ASERNAL 18 M. MASC. ;1
2755;FONTANA-SBTE SVE SENSUS EXT.GUARANA/MEL ;12X150GR
1377;B.VISTA-BISC.TUCS QUEIJO DIN CRACKER ;30X100GR
300;BRASLIXO SACO P/ LIXO 15 LT;25X20UN
3946;IMPRESSORA HP LASEJET P2035;1 UN
3947;CABO USB 2.0 1.8M P/IMPRESSORA;1 UN
3948;TONER HP CE505A;1 UN
3974;BUNGE-MAIONESE SALADA PET R.154589;24X250GR
632;TOSCANO-VINAGRE DE ALCOOL ESCURO;12X750ML
794;FONTANA-SABAO FONT COCO ECONOMICO ;10X5X200GR
9206;JG TACAS CERV RUVOLO BERLIN 330ML 6PCS;1UN
3307;V.FERTIL-AZ.VDE SACHE LIGHT DOY PACK;24X150GR
3308;PVM-FRUITTELLA F.TOP JELLY DINO;9X40GR
3312;SAPEKA FRALDA DESC.CORES VERAO M 4X1;KIT
3313;SAPEKA FRALDA DESC.CORES VERAO G 4X1;KIT
3314;SAPEKA FRALDA DESC.CORES VERAO EG 4X1;KIT
301;BRASLIXO SACO P/ LIXO 30 LT ;25X10UN
716;PAN-BOMBONS AO LICOR MORANGO R.3215;3X200GR
102;B.VISTA-BISC.RECH.CHOCOLATE ;30X140GR
104;B.VISTA-BISC.RECH.BANANA;30X140GR
3975;BUNGE-MAIONESE SALADA LIGHT PET R.154590;24X250GR
3976;BUNGE-MAIONESE SALADA PET R.154587;12X500GR
3977;BUNGE-MAIONESE SALADA LIGHT PET R.154588;12X500GR
3381;PVM-MENTOS STICK RAINBOW ;16X14UN
1411;DAFRUTA NECTAR MARACUJA;1LT
1412;DAFRUTA NECTAR UVA;1LT
1413;DAFRUTA NECTAR PESSEGO ;1LT
1415;DAFRUTA NECTAR GOIABA;1LT
543;FONTANA-SABAO FONT COCO;36X200GR
227;B.VISTA-WAFER MORANGO;30X160GR
3955;DAFRUTA SUCO CONC.TAMARINDO PET;12X500ML
3956;V.FERTIL-MOLHO P/SALADA HISPANO SACHE;240X12ML
107;B.VISTA-BISC.RECH.CHOCOLATE BRANCO ;30X140GR
685;B.VISTA-BISC.TUCS PIZZA DIN CRACKER;30X100GR
1194;V.FERTIL-AZ.VDE PREMIUM M.REINA;12X500GR
967;VITTAMAX-RACAO CAES CLASSIC ;25KG
2268;FONTANA-SABONETE IARA DYNAMIC;12X90GR
3411;SAPEKA LENCO UMEDECIDO EMB. PRATICA;PCT 30UN
1599;GEO SABAO BARRA COMUM AMARELO REF.28;12X5X200GR
1601;PAO DE MEL COB.CHOC PAN R .3409;20X100GR
954;V.FERTIL-AZEITONA VERDE PREMIUM ARAUCO;12X360GR
3600;BAUDUCCO-TORRADA MP INTEGRAL;PCT 320GR
3601;BAUDUCCO-BARRINHAS MAXI GOIABINHA ;20X30GR
3602;BAUDUCCO-BARRINHAS MAXI CHOCOLATE;20X25GR
3603;BAUDUCCO-MAXI COOKIES TRADICIONAL;14X38GR
3604;BAUDUCCO-COOKIES CHOCOLATE;PCT 110GR
3412;SAPEKA LENCO UMEDECIDO REFIL EMB. ECON.;PCT 80UN
3413;SAPEKA LENCO UMEDECIDO POTE;PT 80UN
3414;SAPEKA LENCO UMEDECIDO BALDE ;450UN
3470;PVM-MENTOS AQUA KISS TROPICAL;10X18UN
1297;ALADDIN-JARRA VIDRO PICHORRA R.3822;6X1,7L
1397;DAFRUTA SUCO CONC.UVA ;12X500ML
1564;COOLER SAN THIAGO TRAD.UVA GFAO ;2LT
1565;COOLER SAN THIAGO PESSEGO GFAO;2LT
1566;COOLER SAN THIAGO MORANGO GFAO;2LT
1567;COOLER GFAO SAN THIAGO TRAD. UVA;4,5LT
1568;COOLER GFAO SAN THIAGO PESSEGO ;4,5LT
1569;COOLER GFAO SAN THIAGO MORANGO ;4,5LT
1570;SUCO UVA TINTO ADOCADO ALIANCA ;12X500ML
1571;SUCO UVA TINTO INTEGRAL ALIANCA ;12X500ML
1572;SUCO UVA TINTO ADOCADO ALIANCA ;2LT
3513;FINI BALA GELATINA AMORAS ;500GR
3517;SAPEKA FRALDA DESC NOTURNA EG 7X1;PCT
3518;SAPEKA FRALDA DESC NOTURNA G 7X1;PCT
1573;SUCO UVA TINTO INTEGRAL ALIANCA ;2LT
1574;SUCO UVA BRANCO INTEGRAL ALIANCA ;2LT
1576;VITTAMAX-RACAO CAES FILHOTE ;6X2,3KG
1577;VITTAMAX-RACAO CAES PREMIUM ;6X2,3KG
3515;PVM-EXIBIDOR CARROSSEL QUADRADO;1UN
3516;PVM-EXIBIDOR FAMILIA 4 BANDEJAS;1UN
3970;AP 3G NOKIA 3120 GRAFITE;1UN
3971;AP 3G SAMSUNG B7300 PTO;1UN
521;V.FERTIL-AZEITONA VERDE RECH.PIMENTAO ;VD 360GR
1289;MULTIDRINK VODKA RAIZOV RED R.10018;6X900ML
974;ALCOOL GEL ITAJA ;12X500GR
979;B.VISTA-WAFER FLOCOS ;30X160GR
2263;FONTANA-SABONETE IARA AFFECTION;12X90GR
2264;FONTANA-SABONETE IARA GLAMOUR ;12X90GR
3965;V.FERTIL-AZEITE OLIVA PET 5,1LT;5,1 LT
3972;AP GSM NOKIA 1616 PTO;1UN
